system:index,EVI,LAI,LST,NDVI,NDWI,Pol_moisture,RAD_topo,SAVI,SWC_db,SWC_norm,VV_VH_ratio,fecha,lat,lon,system_time_start,.geo
20220717T143729_20220717T145117_T19JBG,1.138796646227571,-5.765991390383533,15.819441459613373,0.10658718215034493,-0.3034269185903936,0.22054241341514808,19.23623747868967,0.15986191799491942,-6.011813623353413,0.4994953927384158,0.6697775890755038,20220717,-30.660131765964138,-71.66429952044071,1.65806948948E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220804T144741_20220804T145656_T19JBG,1.8651889807365456,-5.645392897124309,,0.15868465827452838,-0.31290855481422386,0.2706527009565534,21.728361243212447,0.23799991018063793,-5.395390688825874,0.5684617526286314,0.7106995934522891,20220804,-30.660131765964138,-71.66429952044071,1.659625290506E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220816T143729_20220816T144912_T19JBG,-2.1793908925102086,-5.5201872029515915,23.502705145976435,0.20866671191938424,-0.2907118434817011,0.29365860957796913,23.948783619208758,0.3129667754849872,-5.201241930338124,0.5952849156166559,0.7190391884945856,20220816,-30.660131765964138,-71.66429952044071,1.660661486654E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220918T144729_20220918T145244_T19JBG,-3.506030010448896,-5.559513662416111,25.3904196554806,0.19277407984285108,-0.10691363950208817,0.22269421277183424,31.25600380119706,0.2891313811212476,-5.953091051888242,0.5037473109890239,0.6834258889296008,20220918,-30.660131765964138,-71.66429952044071,1.663513281292E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221020T143731_20221020T145013_T19JBG,2.1247649243916693,-5.548380505753188,34.082095632594545,0.19853767782396345,-0.28417542372782506,0.23120653582780035,37.86990241751891,0.2977791689161304,-6.082195062191656,0.4884133658531278,0.6715828057484541,20221020,-30.660131765964138,-71.66429952044071,1.666277485612E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221222T144721_20221222T145433_T19JBG,0.9472128383790546,-5.666865652803057,41.89213213367545,0.14973704314125197,-0.3384273499640563,0.2553807770850226,43.49787442383348,0.22458330907926174,-5.7293972669755195,0.5358054146346087,0.6903765747387657,20221222,-30.660131765964138,-71.66429952044071,1.671721277226E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221224T143729_20221224T144526_T19JBG,1.0167666335962386,-5.69225323791838,41.89213213367545,0.13888690947629534,-0.32646618842920494,0.2537477266242534,43.492200279060725,0.20831170943320138,-5.710511942504043,0.5314631924508211,0.705851809176956,20221224,-30.660131765964138,-71.66429952044071,1.671893483422E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230106T144729_20230106T145534_T19JBG,0.8231601943121749,-5.715849131877664,,0.1286642425487107,-0.34449172146911244,0.26261309079336176,43.175329220151745,0.19297701142616402,-5.633942282145804,0.5434460443306582,0.7092842440961474,20230106,-30.660131765964138,-71.66429952044071,1.67301727723E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230111T144721_20230111T145332_T19JBG,0.9076992789984112,-5.705105263544487,,0.13333870445074256,-0.3354492179789407,0.2505412600550997,42.922962410973874,0.19998800652425577,-5.929299452302566,0.5117231907280351,0.6853266795046374,20230111,-30.660131765964138,-71.66429952044071,1.673449277555E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230126T144729_20230126T145426_T19JBG,0.8760112562125173,-5.703237323682857,42.902611845500076,0.13415141969315506,-0.3368690385549526,0.23753424599116457,41.723464300115,0.2012069969949286,-5.942421319157365,0.5066707023373057,0.685824193179398,20230126,-30.660131765964138,-71.66429952044071,1.674745277501E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230312T144721_20230312T145442_T19JBG,0.1517296882336974,-5.7804209048336865,36.57034500772247,0.09975666853704461,-0.2890259631304859,0.21193701888165356,34.32067244970833,0.14961684823689458,-6.394216193271995,0.4527084160929857,0.6718327413227219,20230312,-30.660131765964138,-71.66429952044071,1.678633275717E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230413T143729_20230413T144053_T19JBG,0.8697174419833011,-5.713164208370242,26.563647008358622,0.12983947067656623,-0.3487347948634136,0.2427934396087419,27.003240015886472,0.19473855479145286,-5.961648593815794,0.501120425307954,0.6949717725454467,20230413,-30.660131765964138,-71.66429952044071,1.68139748459E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
