system:index,EVI,LAI,LST,NDVI,NDWI,Pol_moisture,RAD_topo,SAVI,SWC_db,SWC_norm,VV_VH_ratio,fecha,lat,lon,system_time_start,.geo
20240724T144731_20240724T145108_T19JBG,6.789885318876126,-5.179721574846685,19.057443198106835,0.33197262986832765,-0.2792203191896368,0.2548665528570254,20.203748651848237,0.49790549131298256,-5.850201738935141,0.5190196091283267,0.692758503471586,20240724,-30.66013176593417,-71.66429952042003,1.721833281837E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240823T144731_20240823T145053_T19JBG,5.744247340445768,-5.044070634100733,20.386136127732964,0.37518212193358885,-0.26297294261952314,0.23009928428859416,25.61217394876114,0.5627165811257774,-6.188150762458835,0.47941691332796965,0.6712060013361171,20240823,-30.66013176593417,-71.66429952042003,1.724425277028E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240909T143741_20240909T143909_T19JBG,3.8637073327171705,-5.095972127906982,25.312598066529723,0.35884624960075323,-0.2756257331768235,0.22646585394528007,29.4247669148354,0.5382190225933917,-6.114619268050783,0.4931925419880163,0.6787939615812423,20240909,-30.66013176593417,-71.66429952042003,1.725893483273E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241009T143741_20241009T144658_T19JBG,2.179964590195926,-5.397599143196877,,0.25653773279530856,-0.301530016381035,0.2246802366481372,35.99731550815259,0.3847704583460892,-5.992539291108557,0.500341913520175,0.6675260104281278,20241009,-30.66013176593417,-71.66429952042003,1.728485480791E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241024T143749_20241024T144452_T19JBG,1.8475648537356317,-5.460406209611675,36.817030688368746,0.2329870015803718,-0.3200878277361962,0.2307169201289048,38.71758463101523,0.3494475169243537,-6.063852259484459,0.4939633487672868,0.6786552627067346,20241024,-30.66013176593417,-71.66429952042003,1.729781484802E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241126T144729_20241126T145650_T19JBG,1.3857486409093978,-5.56962067465404,35.48743012255593,0.1900547528007046,-0.3253073291180897,0.2467348846630951,42.60816985055751,0.2850541602491417,-5.954484533855354,0.5087352827168315,0.674448352560855,20241126,-30.66013176593417,-71.66429952042003,1.732633281147E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20241128T143741_20241128T144635_T19JBG,1.2996735345651478,-5.5800843738835475,35.48743012255593,0.18580275424432868,-0.33039447198934013,0.2467348846630951,42.744828626145086,0.27867927014663335,-5.954484533855354,0.5087352827168315,0.674448352560855,20241128,-30.66013176593417,-71.66429952042003,1.732805482378E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250127T143811_20250127T144053_T19JBG,1.0507707035424148,-5.666270931109966,,0.14996723876568208,-0.338720164257491,0.23788870474915097,41.619737035302094,0.22493004396192695,-6.165679747373948,0.48639219524672034,0.6765337790725355,20250127,-30.66013176593417,-71.66429952042003,1.737989512027E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250303T143749_20250303T143938_T19JBG,0.9625680587813128,-5.670818900619255,37.05523992984408,0.14802384734231783,-0.34887095989254713,0.23131942487249346,36.19815836699492,0.22201392658947391,-6.189037997081274,0.4854529783770118,0.6718370033470181,20250303,-30.66013176593417,-71.66429952042003,1.741013487241E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250402T143739_20250402T144747_T19JBG,1.0490548468816374,-5.676225362386304,31.439779239499938,0.14572466346170077,-0.3404090661028956,0.28056263039483975,29.538362874349666,0.2185644943521896,-5.735771649531933,0.5363110996446674,0.7059739405109428,20250402,-30.66013176593417,-71.66429952042003,1.743605483099E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250507T143801_20250507T144013_T19JBG,0.9700758498663481,-5.687732797919869,,0.14079562015157693,-0.3531053606062049,0.26243887873179794,22.084271429644044,0.21117019362632256,-5.819459613132863,0.530148918798881,0.7037886155644387,20250507,-30.66013176593417,-71.66429952042003,1.746629504032E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250520T144751_20250520T145638_T19JBG,0.9838863914749699,-5.702208195879474,21.671931043897622,0.13455977747369868,-0.35464462981695277,0.23927362023825044,20.066842441012202,0.2018161961060083,-6.132099241909348,0.4914372951430912,0.6735619934794952,20250520,-30.66013176593417,-71.66429952042003,1.747753297655E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250621T143749_20250621T144710_T19JBG,2.991133864969251,-5.694230908937745,19.795992813593003,0.137938669543805,-0.28466875582795753,0.21373003170617033,17.859859119992127,0.20688436756655237,-5.98998761480384,0.508865024477302,0.6593138870133336,20250621,-30.66013176593417,-71.66429952042003,1.750517485208E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
