TIMESTAMP,TIMESTAMP,TA,TA_F,T_SONIC,CO2_mixing_ratio,H2O_mixing_ratio,SC,SC_F,FH2O,FC,PA,PA_F,RH,TD,NETRAD,NETRAD_F,LW_IN,LW_IN_F,LW_OUT,LW_OUT_F,SW_IN,SW_IN_F,SW_OUT,SW_OUT_F,PPFD,P_RAIN,WS,WS_F,WS_MAX,WS_MAX_F,WD,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_F_1_1_1,TS_F_2_1_1,TS_F_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,SWC_F_1_1_1,SWC_F_2_1_1,SWC_F_3_1_1,G_1_1_1,G_2_1_1,G_3_1_1,G_F_1_1_1,G_F_2_1_1,G_F_3_1_1,LE,LE_F,H,H_F,NEE,NEE_F,NEE_F2,NEE_err,VPD,VPD_F,USTAR,USTAR_F,USTAR_F2,GPP_DT,GPP_NT,ET,ET_F,ET_F2,RECO_DT,RECO_NT,PPFD_sum,H_sum,H_F_sum,LE_sum,LE_F_sum,G_1_1_1_sum,G_F_1_1_1_sum,G_2_1_1_sum,G_F_2_1_1_sum,G_3_1_1_sum,G_F_3_1_1_sum
2023-07-05,2023-07-05,13.234997606994376,13.151775873900403,15.539127659574486,407.02244680851067,9.056778085106382,-0.0467672184,-0.0467672184,266.57775231363,-0.27207383760000003,99508.41914893615,99510.84521432816,60.45192245783844,3.9773714893617034,286.6936139610389,62.48534962820543,277.56727126436783,278.06569450183105,379.7235979946197,379.1872336585032,572.4825157467532,183.54427029189156,41.007863786153344,40.47080085797448,364.8786445116996,0.0,4.070018040425532,4.028520687275738,4.070018040425532,4.046894532056013,207.99565063829783,15.997578870139398,14.703154805575936,14.839929078014183,15.86410569009877,14.603499683336407,14.784702648648304,,,,0.0234139925916764,0.0265412235418304,0.0342619240056523,-0.748656567062851,-3.7860230276449007,-2.6292942782895565,-1.066935305769875,-4.1153603879326806,-2.763357148656354,14.86363252,9.428141009533665,37.616813658536586,28.835360048163057,-0.36145291824000003,-0.05867235387255293,0.10884098386079998,-3670.6947636675586,656.6191702127659,651.5420836689935,0.5493877957446809,0.5491180282986111,0.5491180282986111,1.8979855060485158,3.358655564273957,0.3324362925,0.4053803599661644,1.1127592197499994,2.0068264899093156,3.467496548134757,24.30091772447919,2776120.8479999998,2491375.1081612883,668863.4634,814591.3832237084,-63336.345573517174,-92183.21041851718,-320297.54813875863,-355567.1375173836,-222438.29594329649,-238754.05764390898
2023-07-06,2023-07-06,11.44036811111111,11.44036811111111,13.75544680851066,406.1718936170213,9.646806382978724,-0.026768165040000003,-0.026768165040000003,369.35088541641,0.06763822812000003,99196.10425531917,99198.7607736318,72.02500827435776,4.442629999999999,308.27199323308275,62.36365955749995,277.38581319444444,277.38581319444444,371.3901159722223,371.3901159722223,596.1276779448621,168.99084016086624,36.607071734375,36.607071734375,346.07447636326447,0.0,3.960799170212766,3.9490482214935327,3.960799170212766,3.964397714265298,211.51759787234045,14.754097222222224,13.531944444444443,14.164027777777775,14.754097222222224,13.531944444444443,14.164027777777775,,,,0.0229664640582036,0.0257034104536811,0.0335941344552148,-2.896020584652778,-6.166339092152776,-3.659985807666667,-2.896020584652778,-6.166339092152776,-3.659985807666667,17.32446352173913,11.322393105324023,29.873831414634147,23.67577290979194,-0.03810315275999995,0.406796267719965,0.701337674988,-2374.189596887695,415.6513191489362,415.1825197676958,0.5169458191489361,0.513934219627193,0.513934219627193,0.7208023609272635,3.0178397116220013,0.355923413,0.49647242571913236,1.2129706406999992,1.4221400359152634,3.7191773866100015,22.425626068339536,2204688.7584,2045586.7794060234,717232.7898,978254.7642999958,-250216.178514,-250216.178514,-532771.6975619999,-532771.6975619999,-316222.7737824,-316222.7737824
2023-07-07,2023-07-07,8.985356366071429,8.985356366071429,11.720212765957468,442.3616170212766,9.55909,-0.14967979307999998,-0.14967979307999998,45.8652708747,-0.878044644,99186.58510638298,99187.7274097396,82.30883721512014,2.7822026486486484,130.00687142857143,40.37744024412455,314.19136041666667,314.19136041666667,356.902879265873,356.902879265873,253.75167857142856,114.06421335974196,13.73259417199405,13.73259417199405,158.42100033401698,0.0,0.965801014893617,0.9723588083000032,0.965801014893617,0.9925619544430768,266.27131489361705,11.489027777777778,11.040446428571428,12.249751984126986,11.489027777777778,11.040446428571428,12.249751984126986,,,,0.0229017237675965,0.0255822108904258,0.03349753080578,-9.924541655892858,-11.266423514424604,-7.045287981188611,-9.924541655892858,-11.266423514424604,-7.045287981188611,17.653073799999998,4.942602260941782,10.489081666666667,10.20616226288734,-0.136969500528,0.5742568188426503,2.3544266583592797,-2589.5134224446933,229.3909212765957,235.42128562438435,0.1877507787234042,0.1925019028799019,0.1925019028799019,-1.5040702050891142,1.444990304992958,0.0722653,0.3017810236826495,1.7473298902999994,0.8503564532701655,3.799416963352238,9.410207419840606,679692.492,881812.4195134663,158877.6642,427040.83534536994,-857480.3990691429,-857480.3990691429,-973418.9916462858,-973418.9916462858,-608712.881574696,-608712.881574696
2023-07-08,2023-07-08,10.101232027777778,10.101232027777778,12.410229166666689,411.64375,9.933335,-0.11867407567199999,-0.11867407567199999,103.76186670540002,-0.7115810083199999,99401.60416666669,99401.60416666669,79.86990625,2.767219520833333,205.88109423777777,43.289424837989735,295.42040416666663,295.42040416666663,370.7514236111111,370.7514236111111,456.1893804814815,159.14828573497633,42.75750484325695,42.75750484325695,555.4371425928739,0.0,0.8791653333333334,0.8791653333333334,0.8791653333333334,0.8791653333333334,240.7250958333333,13.587708333333332,12.450833333333334,12.523194444444444,13.587708333333332,12.450833333333334,12.523194444444444,,,,0.0216512989990558,0.0232413048733279,0.031631681968031,2.5297352652777776,-0.6808240204861115,-2.9175275630763884,2.5297352652777776,-0.6808240204861115,-2.9175275630763884,16.5762582,6.588428471684975,70.21136421052631,53.12107688108424,-0.60460656552,0.4866455422683108,0.21134020395239994,-2157.9619349056406,327.60658958333335,327.60658958333335,0.2014282020833333,0.2014282020833333,0.2014282020833333,0.5113786960003998,4.2055994740040274,0.13719211850000002,0.3450350824203642,1.7183225207544994,0.7227188999527997,4.416939677956428,26.994245130013667,4802457.312,4589661.042525678,298372.6476,569240.2199535818,218569.12692,218569.12692,-58823.195370000045,-58823.195370000045,-252074.38144979996,-252074.38144979996
2023-07-09,2023-07-09,11.274233861111112,11.274233861111112,14.05466666666669,406.51125,11.449249375,0.009569336328000003,0.009569336328000003,-12.795600161700005,-0.40505786639999997,99224.77708333332,99224.77708333332,84.75997291666667,5.5491889187500005,135.60236824010988,21.94606123209871,315.940875,315.940875,371.10043125,371.10043125,295.4757684271978,98.59459656398384,25.464360855069444,25.464360855069444,377.8566705845332,0.0,1.1745991041666668,1.1745991041666668,1.1745991041666668,1.1745991041666668,222.7390125,13.636180555555557,12.849027777777778,13.057083333333331,13.636180555555557,12.849027777777778,13.057083333333331,,,,0.0213376605633187,0.0226541459175222,0.0311636794735857,-2.8411693125694444,-4.297986945486112,-3.356774404305556,-2.8411693125694444,-4.297986945486112,-3.356774404305556,7.177490000000001,-0.8713353143204386,36.33506176470589,23.0098591101835,-0.19570682808,0.6756314154241692,1.1140722646970398,-2157.2275802594877,232.55476041666668,232.55476041666668,0.2068479625,0.2068479625,0.2068479625,-0.38804447928231983,3.2676918837280327,0.078518905,0.20495165782548375,1.2340169483999992,0.72602778541472,4.381764148425073,16.323408169251834,2223705.7800000003,1988051.827119854,129194.82,-75283.37115728587,-245477.02860599995,-245477.02860599995,-371346.07209,-371346.07209,-290025.308532,-290025.308532
2023-07-10,2023-07-10,11.231732347222222,11.231732347222222,13.868229166666689,409.9465625,11.315611666666667,-0.14369775127200002,-0.14369775127200002,-31.153776543900005,-0.147546715968,98950.12083333332,98950.12083333332,83.59205625,6.7254829166666665,50.67470040432099,6.630348776836159,347.8458256944445,347.8458256944445,372.0937020833333,372.0937020833333,149.3205123227513,55.07988610686417,11.386352971,11.386352971,188.11770460563628,0.0,1.2101611625,1.2101611625,1.2101611625,1.2101611625,249.6242808333333,13.370625,13.10375,13.291180555555556,13.370625,13.10375,13.291180555555556,,,,0.0212194262261882,0.0224328007569177,0.0309872535053329,-2.733701362222222,-2.6654510319583333,-2.4851434584583334,-2.733701362222222,-2.6654510319583333,-2.4851434584583334,29.767615,0.500720568502201,29.869391935483872,17.04148765223222,-0.04080562055999999,1.4133635850639623,2.6625144187691996,-1293.3731818446065,240.998925,240.998925,0.1964567458333333,0.1964567458333333,0.1964567458333333,-1.5483820489983706,1.1368186413762469,0.04325135,0.190048606724051,1.4213084939499996,1.1141323697708292,3.7993330601454467,8.126684838963486,1666712.07,1472384.5331528638,107163.414,43262.257118590176,-236191.79769599994,-236191.79769599994,-230294.9691612,-230294.9691612,-214716.3948108,-214716.3948108
2023-07-11,2023-07-11,11.598579048611112,11.598579048611112,14.466083333333358,472.9926,12.07670688888889,-0.060666609960000006,-0.060666609960000006,774.9132073200001,0.4656780072,99048.9875,99048.9875,87.58567916666668,6.952159484565217,154.034154452633,57.59177525881048,346.3024520833333,346.3024520833333,373.3058458333333,373.3058458333333,299.6153989360119,108.4797053908436,22.394526145138887,22.394526145138887,371.4635931199609,42.1,2.1053966875,2.1053966875,2.1053966875,2.1053966875,270.84101458333333,13.529444444444444,13.034166666666666,13.532222222222222,13.529444444444444,13.034166666666666,13.532222222222222,0.1444820512820512,0.31205,0.2764743589743589,0.0545427792163735,0.1067877206805445,0.0973834044555078,-6.74651955763889,-7.143865998888888,-5.036606036249999,-6.74651955763889,-7.143865998888888,-5.036606036249999,126.84665,34.04302986929793,3.039186256410256,-0.3949983366461295,0.028371103199999997,1.4318911890152253,3.1277074334256,-1725.172192576595,192.2710125,192.2710125,0.3397419604166666,0.3397419604166666,0.3397419604166666,-1.4641269805886508,0.15337291218894883,0.5754988,1.8118855137158911,2.0413942635499995,1.6635804528369489,3.2810803456145488,15.378592755166379,213350.87519999992,-34127.856286225746,1369943.8199999998,2941317.7807073416,-582899.28978,-582899.28978,-617230.022304,-617230.022304,-435162.761532,-435162.761532
2023-07-12,2023-07-12,13.478012347517732,13.432589521468635,15.81262500000002,438.5522083333333,12.750714583333334,-0.038497420584,-0.038497420584,942.3746825535001,3.1312025279999998,99688.42916666664,99688.42916666664,82.66117916666667,9.541866458333333,82.74371945107343,61.40488755636588,320.4679262411348,320.38314726078164,385.9929574468085,385.6062903743477,434.0027197701755,190.40931490490095,36.95013839370071,36.333937265947725,622.590438358188,18.300000000000004,1.5776521875,1.5776521875,1.5776521875,1.5776521875,172.768770625,15.77581560283688,15.287872340425531,14.902978723404257,15.729294930851596,15.254224133562609,14.90251872732834,0.178259574468085,0.2853829787234042,0.2300808510638297,0.1770991740408954,0.2838573333619249,0.2290834447737657,8.13874725177305,3.960678245390072,2.357326908439716,7.519977532044272,3.3833620198818584,2.0518767305034715,54.096712,39.14530401172575,27.99038023255814,22.813549484331123,2.5054851443760002,3.589457207037731,2.9955162600403202,-3453.331853941485,308.5500875,308.5500875,0.2666238666666666,0.2666238666666666,0.2666238666666666,-0.05579251452616699,0.05396902021924898,0.821937715,1.543661964569134,1.9984747339999993,2.939723745514153,3.049485280259569,26.89590693707372,2166455.43,1971090.675446209,1947481.632,3382154.266613105,688538.0175000001,649726.0587686251,335073.3795600001,292322.4785177926,199429.85645399996,177282.14951549994
2023-07-13,2023-07-13,12.117236680555555,12.117236680555555,14.671744680851088,429.57808510638296,10.071089130434784,0.10530202391999997,0.10530202391999997,420.66862241760003,2.0386859112,99110.38085106383,99118.88704522098,73.92812873238348,4.9176208510638295,218.22634104308392,68.14169572402355,284.3850763888889,284.3850763888889,375.9794791666666,375.9794791666666,490.72959313929823,203.9804702452227,44.81000786458333,44.81000786458333,652.0988314856139,0.0,0.9924026340425532,1.0410076003286473,0.9924026340425532,1.0565206552541746,218.1890829787234,14.165069444444445,13.500694444444443,13.58222222222222,14.165069444444445,13.500694444444443,13.58222222222222,0.1666513888888888,0.2338152777777777,0.1687993055555555,0.1666513888888888,0.2338152777777777,0.1687993055555555,-3.659571690208334,-9.555481293125004,-6.969238870902778,-3.659571690208334,-9.555481293125004,-6.969238870902778,96.85399999999998,23.411414384719176,43.296386,32.35897491107582,0.51124110552,2.2592168413760225,1.3048527437783999,-3885.6318612903583,507.7782617021277,506.8310806087569,0.1613758872340425,0.1612594907418699,0.1612594907418699,2.546874816061802,1.6487080177226086,0.63938425,1.051174394848774,2.150662829599999,3.8517275598402017,2.9535607615010084,28.17066952017852,3117339.792,2795815.432316951,1569034.7999999998,2022746.2028397366,-316186.9940340001,-316186.9940340001,-825593.5837260003,-825593.5837260003,-602142.238446,-602142.238446
2023-07-14,2023-07-14,12.876621625,12.876621625,15.28125000000002,422.82554166666665,9.51275914893617,-0.045164729304,-0.045164729304,1854.3218236551002,1.6854532487999998,98895.64583333331,98895.64583333331,67.68299166666667,4.555701604166667,236.71426380116955,61.92910511118251,282.12412222222224,282.12412222222224,378.4892798611111,378.4892798611111,494.836980191358,195.55969729305116,43.44338771097569,43.44338771097569,644.3606701798375,0.1,1.6370919041666667,1.6370919041666667,1.6370919041666667,1.6370919041666667,191.08081708333336,13.69173611111111,13.01201388888889,13.037916666666668,13.69173611111111,13.01201388888889,13.037916666666668,0.161911111111111,0.2168993055555555,0.1532229166666666,0.161911111111111,0.2168993055555555,0.1532229166666666,-1.7226084687499992,-8.007120238194444,-5.448688357777777,-1.7226084687499992,-8.007120238194444,-5.448688357777777,140.5251705882353,54.77269566486168,25.48064388888889,16.987143857662197,1.115092710216,2.669502845098431,2.163205718208,-3885.260483203735,634.617025,634.617025,0.3158240520833333,0.3158240520833333,0.3158240520833333,0.8211048426894639,0.9489272042898236,1.7502225,2.063835093511358,3.040621587149999,2.984310560897464,3.1121329224978234,27.836380951768977,1651145.7240000002,1467689.229302014,4300070.22,4732360.905444049,-148833.37169999996,-148833.37169999996,-691815.1885800001,-691815.1885800001,-470766.67411200004,-470766.67411200004
