,T,E,TEA_WUE
2022-07-04 12:00:00,-0.0127377285398532,0.0646683183916191,8165.83714078733
2022-07-04 12:30:00,-0.0166941624542466,0.0230177624542466,6230.57413542428
2022-07-04 13:00:00,0.0139948937301731,0.0450792907105468,9778.6000490214
2022-07-04 13:30:00,0.0101481896784461,0.0737204332862789,8553.87030855064
2022-07-04 14:00:00,0.0201806721381997,0.0357790819342127,7107.6837235212
2022-07-04 14:30:00,-0.0130084988279142,0.0797983966402469,6007.32672092114
2022-07-04 15:00:00,0.00546775863572523,0.0652395237094862,7399.50356251116
2022-07-04 15:30:00,0.00425089545263663,0.0516827571782711,7938.13979195139
2022-07-04 16:00:00,0.0046789387001781,0.0384273852591586,8128.93733191081
2022-07-04 16:30:00,0.00604973593940108,0.0381518730516539,7723.13153830406
2022-07-04 17:00:00,0.00563496085331223,0.0448008727123921,6391.36054328228
2022-07-04 17:30:00,0.00854228605093753,0.0513028117946406,6279.66570917075
2022-07-04 18:00:00,0.00464810972031472,0.0397914407530448,8085.7079030947
2022-07-04 18:30:00,0.00675384869387232,0.0574286183996898,8192.28865529661
2022-07-04 19:00:00,-0.00517301215005139,0.0449048714716631,7504.41744506909
2022-07-04 19:30:00,-0.0037177983362341,0.0283771238860455,7742.06686561591
2022-07-04 20:00:00,-0.00393935351321462,0.00873670800461332,7911.44893035196
2022-07-04 20:30:00,-0.00525018770034333,0.00950656452122173,8619.33868418471
2022-07-04 21:00:00,0.00170419224561462,0.00260868586007918,9588.44408900992
2022-07-04 21:30:00,-0.00133638658861489,0.00545093534704259,9843.51391735704
2022-07-04 22:00:00,0.000626003539079414,0.00348650432455879,10811.240578532
2022-07-04 22:30:00,0.00179244619220483,0.00268109712337737,10811.240578532
2022-07-04 23:00:00,0.00120505589600804,0.00305258576932976,10064.1841177458
2022-07-04 23:30:00,0.00100902439142092,0.00314485249090858,10863.557272549
2022-07-05 00:00:00,0.00126261180481967,0.00269004374867083,10811.240578532
2022-07-05 00:30:00,0.00124080843930978,0.00271158737103922,11001.2146490503
2022-07-05 01:00:00,0.000659195161420574,0.00329294093992203,13069.1271711314
2022-07-05 01:30:00,0.000484640028094524,0.00346746418151268,10706.607190498
2022-07-05 02:00:00,0.00228140241945763,0.00167066989892877,10744.5805624365
2022-07-05 02:30:00,0.00258596928093536,0.00244285445199524,10401.8428840232
2022-07-05 03:00:00,0.00216808204104121,0.00286058904407199,12406.7473711843
2022-07-05 03:30:00,0.00200644683948487,0.00286897454217213,12406.7473711843
2022-07-05 04:00:00,0.00193175009163681,0.00217275690608749,12406.7473711843
2022-07-05 04:30:00,0.00205775250924364,0.00192230923371266,13071.4706274793
2022-07-05 05:00:00,0.00226529786555765,0.00210293748982845,10820.5273063134
2022-07-05 05:30:00,0.00205775250924364,0.00185962248175956,13071.4706274793
2022-07-05 06:00:00,0.00170225330591468,0.00190155514437012,19433.6234497277
2022-07-05 06:30:00,-6.53036956940004E-05,0.0030388625104012,21225.865612493
2022-07-05 07:00:00,-0.00237502356351003,0.00506084343289483,20909.284476575
2022-07-05 07:30:00,0.00025479753896495,0.00232433013194165,20823.1284083551
2022-07-05 08:00:00,0.000255469619498859,0.00164843583108584,20768.3476509178
2022-07-05 08:30:00,-0.000625085062760184,0.00252894741354548,20823.1284083551
2022-07-05 09:00:00,-0.000619954913555122,0.00252377416649232,20995.4405447949
2022-07-05 09:30:00,0.000506492990124602,0.0125654455486392,20813.314207185
2022-07-05 10:00:00,0.00725735936310203,0.0493498646715228,10621.159452555
2022-07-05 10:30:00,0.00108761197588216,0.0271491226035498,10852.4177939715
2022-07-05 11:00:00,0.00438082211930326,0.0274327077666393,10621.159452555
2022-07-05 11:30:00,0.00788912921303148,0.0444920564123865,8110.46546834454
2022-07-05 12:00:00,0.00697238781728547,0.0357834626703278,8110.46546834454
2022-07-05 12:30:00,0.00860982550021919,0.0538026514260134,8110.46546834454
2022-07-05 13:00:00,0.00457155879791901,0.062974628712948,8589.82278383368
2022-07-05 13:30:00,0.00483403064744697,0.0549238538990667,9271.06145172442
2022-07-05 14:00:00,0.00352843203792445,0.067116066691427,8979.33023038672
2022-07-05 14:30:00,0.00277463182429944,0.067875994376215,7548.4081082679
2022-07-05 15:00:00,0.00731127493115473,0.0633454798035682,6345.13935323631
2022-07-05 15:30:00,0.005850474460313,0.044445173305257,6784.74331565176
2022-07-05 16:00:00,0.00338604909684054,0.0470775262093672,7990.7097419368
2022-07-05 16:30:00,0.00474978781523724,0.0422821057890805,7604.88005045669
2022-07-05 17:00:00,0.00553920005239429,0.0372697451688378,6405.60651653358
2022-07-05 17:30:00,0.00758869604012415,0.044868862836361,7999.68435267133
2022-07-05 18:00:00,0.0077027652867959,0.0346587688223786,8488.76192554984
2022-07-05 18:30:00,0.00438572141752795,0.0463579369234984,9461.44950943764
2022-07-05 19:00:00,-0.0040361605787116,0.0442553183285828,9496.47597128935
2022-07-05 19:30:00,-0.00363226435394699,0.028443115556379,10757.0992484459
2022-07-05 20:00:00,-0.00259019759037148,0.00709936894261788,10951.1872801688
2022-07-05 20:30:00,-0.00196430455588198,0.00685692184631198,11104.3239193661
2022-07-05 21:00:00,-0.00210158140278897,0.00718648692475667,13832.017767869
2022-07-05 21:30:00,-0.000811454683671219,0.00515357204836282,10982.0828141411
2022-07-05 22:00:00,0.000134059409910232,0.00507456190483657,10486.8896628845
