,ET_F,GPP_NT,TA_F,RH,VPD_F,SW_IN_F,P_RAIN,USTAR_F,WS_F,Rg_pot_proxy
2022-07-04,0.3844006579425388,0.0,12.259732825563404,64.73383873675564,560.4743015319793,269.68328815068475,0.0,0.377237179921345,4.274264430988239,266.26324243799985
2022-07-05,0.5119897130123973,0.0,9.89875662779359,77.99146445338795,287.23630292027,146.91550004482272,0.0,0.308149817430655,4.042031471452998,188.29150648239312
2022-07-06,0.3873887691503682,0.0,9.865596912457402,69.27063866304931,428.78085647527456,150.34883228937784,0.0,0.288188443954193,2.762430347996016,191.78126719259978
2022-07-07,0.4175781150098768,0.0522037795498122,10.7218104666257,70.88269297299861,447.9214105254407,147.51421003928985,0.0,0.2971638523305774,2.887168481191953,184.57657972134183
2022-07-08,0.3403075741255827,2.130217299128299,11.55988907638889,75.44244129870378,342.06020029239426,165.90456807874247,0.0,0.3931684854819335,1.8103424178188028,194.8796023890585
2022-07-09,1.7369053200339182,1.76117004367682,11.235764861111113,84.1823375,216.5795833333333,86.91392648220067,7.800000000000001,0.51707736875,3.6908952125,195.5363035351592
2022-07-10,1.6759308781754567,0.8602785198202753,11.139851111111112,93.47169583333334,88.5397625,71.55875879029429,20.8,0.2675069104166667,1.9139800395833333,105.85583131809341
2022-07-11,1.6420742117674254,0.1817199337448141,9.740438465277778,82.48091666666666,247.19416041666668,158.5843299900245,1.2,0.2286676833333333,1.763924541666667,196.70614910717387
2022-07-12,2.1844175595703885,0.8791067692637327,11.020019784722225,69.00253958333333,508.4810791666666,167.74860884166864,0.0,0.4132418375,2.6572626666666666,200.26010194272598
2022-07-13,0.5984613263257647,2.29759846032717,10.760454666666668,81.61561666666667,244.0425541666667,138.28640449047094,0.0,0.3776956,2.4376087708333336,201.91385617563964
2022-07-14,1.78099472663054,1.832435571612811,10.786613479166666,84.21860833333334,208.7673625,94.56295428977278,16.000000000000004,0.4289133972739662,3.97227675,194.99838331960223
2022-07-15,1.1822301310431165,0.7198645226870726,8.100073090277776,87.81406458333333,135.16468541666669,82.28318235029779,25.200000000000003,0.217313375,1.59632715625,195.0575839465011
2022-07-16,1.2527937894900123,0.3231555859074193,7.723807416666666,81.081525,239.2612520833333,158.94139076834168,0.1,0.1998220458333333,1.10483314375,190.9653048503274
2022-07-17,1.810946413227007,2.062845538533297,8.91483848611111,69.09273958333334,416.1324041666667,181.0742090582106,0.0,0.4511885979166667,3.307154604166667,208.4410179363187
2022-07-18,0.7686183659849277,1.8229656476983815,11.201430638888889,65.43979374999999,613.80316875,169.90862211726426,0.0,0.2265209083333333,1.506014625,209.93802861759193
2022-07-19,0.6531715751240081,0.4592787775890956,9.119971277777775,84.05184583333333,248.2249520833333,148.46579649597933,0.0,0.1833757020833333,1.0752146458333334,162.09542065309145
2022-07-20,0.4598255165385739,-0.0426646006826814,10.276970520833332,88.92880833333334,148.08388333333332,156.20785878179598,0.0,0.3062905,2.187250145833333,155.7832981854103
2022-07-21,0.3255462849595297,0.7207332396593906,10.8403950625,85.1081125,195.5070208333333,155.1319482500355,0.0,0.3067387458333333,2.201185125,153.38604479097765
2022-07-22,0.4301741063065906,1.9463354323313045,11.612071944444445,81.33499791666667,264.0610625,124.21731510697602,0.0,0.2282837979166666,1.5631333958333335,147.75581044389418
2022-07-23,0.3914597878095152,2.485490597689256,11.285257638888888,85.11268333333334,206.5593208333333,112.96779152979629,0.0,0.2152481208333333,1.4586835625,208.95118815375528
2022-07-24,0.5846310266795285,2.6590673659909383,11.211426180555556,81.01363541666667,259.4281458333333,131.49777151550725,0.0,0.2364984812499999,1.4710388125,214.04172862042603
2022-07-25,0.6696494698183296,2.241192387842062,10.688393916666667,77.40174583333334,309.2593083333333,149.15737955666577,0.0,0.29990249375,1.8533360833333328,219.3511616643692
2022-07-26,0.4452442795127092,1.1951622545929814,9.42485305833794,84.89987757381863,231.49098247474265,168.07641473927728,0.0,0.2101210908625731,1.075465390046,207.24865540280507
2022-07-27,1.0292490846439664,1.7022323411676468,11.09478932638889,85.3434375,209.80436041666667,192.4191807334296,0.0,0.54601670625,4.3853499375,217.58993364624055
2022-07-28,0.9722431225088134,2.4416015993826337,11.023729729166668,79.78471458333333,283.09192916666666,208.9592095996724,0.0,0.50936329375,3.634806325,224.30749712620394
2022-07-29,0.425592660861382,0.979740879821313,9.604351610094136,90.084105126951,136.1580065818198,73.61287048787084,0.0,0.1718356013540031,0.925273901207862,217.04780709761013
2022-07-30,0.3908325682268591,1.540365366025384,11.6012066875,77.79415833333333,310.9515,72.55059749678618,0.0,0.2353214041666666,1.2423409645833334,218.11532288736268
2022-07-31,0.4691190561861844,1.443258872749114,11.424747340277776,79.50510416666667,299.7367458333333,181.57661093634192,0.0,0.3516864708333333,2.023297583333333,181.29627858544495
2022-08-01,0.2896711641495273,0.6409871957183964,10.935502354166667,82.42253125,232.83130000000003,109.47546542539924,0.0,0.3616272541666667,2.610181125,222.78351612370858
2022-08-02,0.3112322024738637,0.93470748315874,10.757513381406987,73.98230231992665,336.8865285215563,118.03530723380618,0.0,0.2888650343393946,2.26894009359377,200.93370771588616
2022-08-03,0.447118361494084,0.6059532644415541,10.635393361111111,74.43616875,339.9065625,72.88903268674969,0.0,0.1967488041666666,1.1158370395833332,163.8846625496852
2022-08-04,0.9855334585999156,2.002938040641553,10.4317204375,75.44424583333334,343.79765625,214.0146754369782,0.0,0.5840838479166667,4.188533875,212.90693311764488
2022-08-05,0.5096658872554402,2.878273926722945,11.208470972222225,80.67532291666667,263.5980208333333,224.53528304300232,0.0,0.8796682916666666,7.433404166666667,222.82265728711553
2022-08-06,0.9283769611204036,0.9932057005975238,10.814060868055556,89.16093958333333,147.917875,66.05565288160612,13.000000000000002,0.2959322854166666,1.8351814791666667,176.39023095478393
2022-08-07,1.9967397200196644,0.4032825930501731,10.093100680555557,79.331,284.91827916666665,200.5517079881803,0.2,0.3587044791666667,2.715277858333333,199.74617403373858
