lon,lat,accum,n_obs
-71.60972950542433,-30.63941149738752,-248.13036720157064,39.0
-71.61004225542447,-30.63940521513439,-230.99826565556904,39.0
-71.61004952128013,-30.639675645096567,-235.8671670255662,39.0
-71.61005678723409,-30.639946075045916,-254.2349401108054,39.0
-71.61035500532631,-30.63939893213011,-234.25322134164702,39.0
-71.61036227205017,-30.639669362025007,-248.054438957264,39.0
-71.61036953887236,-30.639939791907064,-251.6558259137515,39.0
-71.6103768057929,-30.64021022177631,-251.5999842185785,39.0
-71.61038407281177,-30.640480651632743,-213.96605910083525,39.0
-71.61066775512981,-30.639392648374688,-196.58061114097893,39.0
-71.61067502272189,-30.639663078202293,-222.03803481437168,39.0
-71.61068229041233,-30.63993350801706,-243.60099659801904,39.0
-71.6106895582011,-30.64020393781902,-261.6992869012588,39.0
-71.61069682608823,-30.64047436760816,-233.6478482618028,39.0
-71.61070409407371,-30.64074479738448,-198.6005755993415,39.0
-71.61071136215753,-30.641015227147985,-199.47788082173574,39.0
-71.6107186303397,-30.641285656898667,-220.248858813263,38.0
-71.61072589862025,-30.641556086636538,-230.53776578532475,38.0
-71.61073316699913,-30.641826516361583,-201.5056201555578,37.0
-71.61071846200123,-30.652920411171078,-105.76879234841786,39.0
-71.61072573364319,-30.65319084042498,-111.77136996670052,39.0
-71.61073300538355,-30.653461269666057,-130.077445228338,39.0
-71.6107402772223,-30.65373169889432,-172.41601076425027,39.0
-71.61098050483496,-30.63938636386812,-183.34458569548192,39.0
-71.61098777329526,-30.639656793628426,-196.67463713780302,39.0
-71.61099504185393,-30.639927223375896,-207.27931986500283,39.0
-71.61100231051095,-30.640197653110555,-229.07520981292564,39.0
-71.61100957926634,-30.640468082832395,-234.78232183899505,39.0
-71.61101684812007,-30.64073851254141,-241.13599916963946,39.0
-71.61102411707219,-30.64100894223762,-181.4800807336615,39.0
-71.61103138612266,-30.641279371921,-188.3845005693328,38.0
-71.6110386552715,-30.64154980159157,-210.12776369204752,38.0
-71.6110459245187,-30.641820231249312,-224.41223674791152,37.0
-71.61100216617115,-30.651832407176094,-117.38117323267528,39.0
-71.61100943828833,-30.65210283641398,-94.96344364791214,39.0
-71.61101671050392,-30.65237326563904,-100.86950979492852,39.0
-71.6110239828179,-30.65264369485127,-161.26443478097093,39.0
-71.61103125523029,-30.65291412405069,-160.33178659457857,39.0
-71.61103852774106,-30.65318455323728,-139.10978555019616,39.0
-71.61104580035024,-30.65345498241105,-178.44667013569756,39.0
-71.61129325444175,-30.639380078610404,-207.77869473116058,39.0
-71.61130052377028,-30.6396505083034,-193.35686368294003,39.0
