lon,lat,accum,n_obs
-71.60972950542433,-30.63941149738752,-212.28216151643372,34.0
-71.61004225542447,-30.63940521513439,-217.7472162638939,34.0
-71.61004952128013,-30.639675645096567,-217.53895781996286,34.0
-71.61005678723409,-30.639946075045916,-234.23436099811525,34.0
-71.61035500532631,-30.63939893213011,-232.94912402015285,34.0
-71.61036227205017,-30.639669362025007,-233.88662732137877,34.0
-71.61036953887236,-30.639939791907064,-228.92046892663845,34.0
-71.6103768057929,-30.64021022177631,-230.25114823820334,34.0
-71.61038407281177,-30.640480651632743,-207.97745276399695,34.0
-71.61066775512981,-30.639392648374688,-202.2691011113605,34.0
-71.61067502272189,-30.639663078202293,-221.6023127162238,34.0
-71.61068229041233,-30.63993350801706,-230.21577995908365,34.0
-71.6106895582011,-30.64020393781902,-236.37647853803094,34.0
-71.61069682608823,-30.64047436760816,-230.4083433523852,34.0
-71.61070409407371,-30.64074479738448,-189.83184933625344,34.0
-71.61071136215753,-30.641015227147985,-193.9016529296749,34.0
-71.6107186303397,-30.641285656898667,-214.244914888139,34.0
-71.61072589862025,-30.641556086636538,-213.4207039234058,34.0
-71.61073316699913,-30.641826516361583,-189.86061755167827,34.0
-71.61071846200123,-30.652920411171078,-152.06794974379025,35.0
-71.61072573364319,-30.65319084042498,-162.60963428524505,35.0
-71.61073300538355,-30.653461269666057,-181.02680298416186,35.0
-71.6107402772223,-30.65373169889432,-194.89578121968017,35.0
-71.61098050483496,-30.63938636386812,-193.95982475064065,34.0
-71.61098777329526,-30.639656793628426,-198.84564595827342,34.0
-71.61099504185393,-30.639927223375896,-206.83071467015284,34.0
-71.61100231051095,-30.640197653110555,-218.67737663419948,34.0
-71.61100957926634,-30.640468082832395,-228.65308665897098,34.0
-71.61101684812007,-30.64073851254141,-219.05863146912844,34.0
-71.61102411707219,-30.64100894223762,-184.6631138268366,34.0
-71.61103138612266,-30.641279371921,-194.77953167600504,34.0
-71.6110386552715,-30.64154980159157,-205.33634879094797,34.0
-71.6110459245187,-30.641820231249312,-209.84637783308366,34.0
-71.61100216617115,-30.651832407176094,-134.72533901612883,34.0
-71.61100943828833,-30.65210283641398,-127.47081722435784,34.0
-71.61101671050392,-30.65237326563904,-156.04502882557432,34.0
-71.6110239828179,-30.65264369485127,-199.8059389327557,34.0
-71.61103125523029,-30.65291412405069,-166.97604434236246,34.0
-71.61103852774106,-30.65318455323728,-176.99898740105766,35.0
-71.61104580035024,-30.65345498241105,-213.93933948860317,35.0
-71.61129325444175,-30.639380078610404,-200.33420562136632,34.0
-71.61130052377028,-30.6396505083034,-192.02227379424872,34.0
-71.61130779319717,-30.639920937983568,-194.3490564073215,34.0
-71.61131506272244,-30.640191367650917,-175.745001237605,34.0
-71.61105319386428,-30.64209066089424,-206.4754446869855,34.0
-71.6110604633082,-30.642361090526347,-213.754480807379,34.0
-71.61129313745931,-30.651014831984803,-169.40138907488023,34.0
-71.61130041015004,-30.65128526119384,-169.90241007666032,34.0
-71.61130768293914,-30.65155569039004,-180.94415940548512,34.0
-71.61131495582669,-30.651826119573425,-147.76622880301517,34.0
-71.61105307305785,-30.653725411572,-227.1263222056209,35.0
-71.61106034586382,-30.65399584072012,-181.83331677633427,35.0
-71.61106761876823,-30.654266269855427,-128.99826409666855,35.0
-71.61132233234609,-30.64046179730545,-189.44209595954834,34.0
-71.6113296020681,-30.64073222694716,-221.27030734600788,34.0
-71.61133687188848,-30.641002656576056,-201.84407190229774,34.0
-71.61134414180725,-30.641273086192133,-198.403247843966,34.0
-71.61135141182439,-30.64154351579539,-192.6738934020139,34.0
-71.6113586819399,-30.64181394538583,-220.7430704147553,34.0
-71.6113659521538,-30.64208437496345,-219.54939075322628,34.0
-71.61137322246609,-30.64235480452824,-229.8795595518712,34.0
-71.61138049287673,-30.642625234080224,-197.65753427189208,34.0
-71.61138776338578,-30.64289566361937,-187.95606640431987,34.0
-71.61132222881263,-30.652096548743987,-154.09524878790663,34.0
-71.61132950189699,-30.65236697790173,-161.26216717725188,34.0
-71.61133677507975,-30.65263740704665,-199.01420375099764,34.0
-71.61134404836092,-30.65290783617875,-204.1976841127476,34.0
-71.61135132174051,-30.65317826529802,-217.56490937843952,34.0
-71.61135859521853,-30.65344869440448,-227.48248808979122,34.0
-71.61136586879495,-30.653719123498107,-215.10449563890836,34.0
-71.61137314246979,-30.653989552578917,-173.40649416998673,34.0
-71.61138041624304,-30.6542599816469,-140.27379161231744,34.0
-71.61160600395017,-30.63937379260154,-186.05120977063356,34.0
-71.61161327414692,-30.639644222227226,-193.2643590021076,34.0
-71.61162054444205,-30.63991465184008,-172.29210440411416,34.0
-71.61162781483557,-30.64018508144011,-156.00768241780247,34.0
-71.61163508532746,-30.64045551102733,-167.97969581086474,34.0
-71.61164235591775,-30.64072594060172,-195.71396495124029,34.0
-71.61164962660641,-30.640996370163307,-200.69100379528814,34.0
-71.61165689739346,-30.641266799712064,-224.44153032024317,34.0
-71.6116641682789,-30.641537229248005,-211.5817487994517,34.0
-71.61167143926274,-30.641807658771125,-206.50542748326973,34.0
-71.61167871034496,-30.642078088281423,-211.68421076013925,34.0
-71.61168598152557,-30.642348517778903,-212.17093538775373,34.0
-71.61169325280459,-30.642618947263568,-197.82127940500266,34.0
-71.61170052418198,-30.6428893767354,-189.72690190463413,34.0
-71.61170779565776,-30.64315980619442,-166.29616917831018,34.0
-71.61171506723197,-30.64343023564062,-173.72216668636054,34.0
-71.61172233890456,-30.643700665074004,-183.99251710188983,34.0
-71.61159137758658,-30.65046768551069,-242.043774886177,34.0
-71.61159865094919,-30.650738114678056,-272.0702120438579,34.0
-71.61160592441021,-30.65100854383258,-174.74635918137798,34.0
-71.61161319796966,-30.651278972974293,-128.37924894655725,34.0
-71.61162047162753,-30.65154940210317,-188.12521323196367,34.0
-71.61162774538381,-30.651819831219232,-186.10565142815642,34.0
-71.61163501923852,-30.652090260322478,-144.7631519056576,34.0
-71.61164229319164,-30.65236068941289,-172.78438095895777,34.0
-71.61164956724319,-30.652631118490486,-188.70164208245012,34.0
-71.61165684139317,-30.652901547555263,-226.11699001148497,34.0
-71.61166411564156,-30.65317197660721,-263.56085713648827,34.0
-71.6116713899884,-30.65344240564634,-228.22940839996684,34.0
-71.61167866443364,-30.65371283467265,-188.81884784405182,34.0
-71.61168593897733,-30.65398326368613,-165.05993395047884,34.0
-71.61169321361943,-30.65425369268679,-154.0283780220186,34.0
-71.61191875336021,-30.63936750584153,-175.50251723687563,34.0
-71.61192602442519,-30.639637935399897,-168.04669764266572,34.0
-71.61193329558854,-30.639908364945427,-149.9729542721551,34.0
-71.61194056685031,-30.64017879447814,-136.80794073553224,34.0
-71.61194783821045,-30.640449223998036,-165.03304598998645,34.0
-71.61195510966901,-30.640719653505094,-188.14349792375788,34.0
-71.61196238122595,-30.64099008299936,-210.18680398793418,34.0
-71.61196965288129,-30.641260512480795,-226.71209879178008,34.0
-71.61197692463503,-30.641530941949405,-224.2551364542188,34.0
-71.61198419648719,-30.6418013714052,-207.63562250784076,34.0
-71.61199146843772,-30.64207180084818,-201.4811813193101,34.0
-71.61199874048667,-30.642342230278324,-195.31271066319252,34.0
-71.61200601263403,-30.642612659695665,-192.02111923761024,34.0
-71.61201328487978,-30.642883089100177,-183.62538782702646,34.0
-71.61202055722396,-30.643153518491864,-151.2238777242016,34.0
-71.61202782966653,-30.64342394787074,-170.52026025114534,34.0
-71.61203510220751,-30.6436943772368,-161.81381508707852,34.0
-71.6120423748469,-30.643964806590017,-174.50208214770632,34.0
-71.61204964758471,-30.644235235930427,-186.3878697413544,34.0
-71.61189688856877,-30.65019096762879,-192.97319470186045,34.0
-71.61190416270165,-30.65046139674164,-218.54465853419623,34.0
-71.61191143693296,-30.65073182584167,-276.59542344455946,34.0
-71.61191871126272,-30.65100225492887,-187.4591812852355,34.0
-71.61192598569089,-30.651272684003253,-144.8405550089168,34.0
-71.61193326021748,-30.651543113064804,-157.86063619037114,34.0
-71.6119405348425,-30.65181354211353,-164.84107659375002,34.0
-71.61194780956598,-30.652083971149438,-162.20376755757147,34.0
-71.61195508438787,-30.652354400172527,-210.69913513812514,34.0
-71.61196235930821,-30.652624829182788,-214.89186830578558,34.0
-71.61196963432697,-30.652895258180227,-244.84905163658695,34.0
-71.61197690944418,-30.653165687164847,-260.1993253731238,34.0
-71.61198418465983,-30.653436116136643,-225.76471064829866,34.0
-71.61199145997391,-30.653706545095616,-180.37393819036132,34.0
-71.61199873538644,-30.65397697404176,-158.60820128039302,34.0
-71.61223150267188,-30.639361218330396,-148.90431139692862,34.0
-71.61223877460505,-30.63963164782142,-143.29598762769592,34.0
-71.61224604663666,-30.63990207729962,-139.6134144026645,34.0
-71.61225331876665,-30.640172506765,-150.3007855232212,34.0
-71.61226059099505,-30.64044293621756,-183.6309269811973,34.0
-71.61226786332186,-30.6407133656573,-195.8053308159537,34.0
