lon,lat,accum,n_obs
-71.60972950542433,-30.63941149738752,-152.51550938538765,43.0
-71.61004225542447,-30.63940521513439,-162.30499717377788,43.0
-71.61004952128013,-30.639675645096567,-131.8880107288649,43.0
-71.61005678723409,-30.639946075045916,-135.4846197618316,43.0
-71.61035500532631,-30.63939893213011,-124.55898577696865,43.0
-71.61036227205017,-30.639669362025007,-160.00270445068168,43.0
-71.61036953887236,-30.639939791907064,-159.41702507251279,43.0
-71.6103768057929,-30.64021022177631,-177.9046661351931,43.0
-71.61038407281177,-30.640480651632743,-163.76310741400297,43.0
-71.61066775512981,-30.639392648374688,-145.4101685579561,43.0
-71.61067502272189,-30.639663078202293,-144.38823381766133,43.0
-71.61068229041233,-30.63993350801706,-120.62680437056056,43.0
-71.6106895582011,-30.64020393781902,-149.49195194982954,43.0
-71.61069682608823,-30.64047436760816,-194.83365646185115,43.0
-71.61070409407371,-30.64074479738448,-114.94147034906881,43.0
-71.61071136215753,-30.641015227147985,-153.93259237158938,43.0
-71.6107186303397,-30.641285656898667,-167.39235771953153,43.0
-71.61072589862025,-30.641556086636538,-129.76891026397558,43.0
-71.61073316699913,-30.641826516361583,-203.31724801262212,43.0
-71.61071846200123,-30.652920411171078,-123.1803476959215,44.0
-71.61072573364319,-30.65319084042498,-208.29662029916355,44.0
-71.61073300538355,-30.653461269666057,-193.22547792515326,43.0
-71.6107402772223,-30.65373169889432,-149.43787276992032,43.0
-71.61098050483496,-30.63938636386812,-133.4715251328954,43.0
-71.61098777329526,-30.639656793628426,-148.69339793834988,43.0
-71.61099504185393,-30.639927223375896,-146.60772916854106,43.0
-71.61100231051095,-30.640197653110555,-138.730758125527,43.0
-71.61100957926634,-30.640468082832395,-120.81379481656282,43.0
-71.61101684812007,-30.64073851254141,-107.36003902194732,43.0
-71.61102411707219,-30.64100894223762,-158.64295708745513,43.0
-71.61103138612266,-30.641279371921,-141.43897666759855,43.0
-71.6110386552715,-30.64154980159157,-155.20600061249888,43.0
-71.6110459245187,-30.641820231249312,-151.56346478329155,43.0
-71.61100216617115,-30.651832407176094,-133.9704970841262,43.0
-71.61100943828833,-30.65210283641398,-139.5965073260629,43.0
-71.61101671050392,-30.65237326563904,-103.32102314919061,43.0
-71.6110239828179,-30.65264369485127,-85.24518036402446,44.0
-71.61103125523029,-30.65291412405069,-145.4794848512154,44.0
-71.61103852774106,-30.65318455323728,-155.96904032084504,44.0
-71.61104580035024,-30.65345498241105,-146.73684015869168,43.0
-71.61129325444175,-30.639380078610404,-123.41448751309943,43.0
-71.61130052377028,-30.6396505083034,-166.1536419475756,43.0
-71.61130779319717,-30.639920937983568,-134.80511620421916,43.0
-71.61131506272244,-30.640191367650917,-119.67824493486536,43.0
-71.61105319386428,-30.64209066089424,-177.6590994693241,43.0
-71.6110604633082,-30.642361090526347,-161.11948951224196,44.0
-71.61129313745931,-30.651014831984803,-170.595017981755,43.0
-71.61130041015004,-30.65128526119384,-106.2189521918197,43.0
-71.61130768293914,-30.65155569039004,-118.49998254686764,43.0
-71.61131495582669,-30.651826119573425,-141.99925321874588,43.0
-71.61105307305785,-30.653725411572,-128.37393439396055,43.0
-71.61106034586382,-30.65399584072012,-144.35707079631254,43.0
-71.61106761876823,-30.654266269855427,-91.24770277815475,43.0
-71.61132233234609,-30.64046179730545,-150.33946512372654,43.0
-71.6113296020681,-30.64073222694716,-134.66384830588024,43.0
-71.61133687188848,-30.641002656576056,-172.54800994814363,43.0
-71.61134414180725,-30.641273086192133,-126.44216235276366,43.0
-71.61135141182439,-30.64154351579539,-163.0824677770631,43.0
-71.6113586819399,-30.64181394538583,-125.77189849747899,43.0
-71.6113659521538,-30.64208437496345,-114.46079263702316,43.0
-71.61137322246609,-30.64235480452824,-133.71808789583196,44.0
-71.61138049287673,-30.642625234080224,-98.13273523187623,44.0
-71.61138776338578,-30.64289566361937,-189.35342694682086,44.0
-71.61132222881263,-30.652096548743987,-151.4757347294415,43.0
-71.61132950189699,-30.65236697790173,-181.93223594845398,43.0
-71.61133677507975,-30.65263740704665,-158.47412316235395,44.0
-71.61134404836092,-30.65290783617875,-142.5359471289251,44.0
-71.61135132174051,-30.65317826529802,-135.45720585100722,44.0
-71.61135859521853,-30.65344869440448,-165.49833991490794,43.0
-71.61136586879495,-30.653719123498107,-185.6591358712458,43.0
-71.61137314246979,-30.653989552578917,-91.87760603927067,43.0
-71.61138041624304,-30.6542599816469,-106.19986330868554,43.0
-71.61160600395017,-30.63937379260154,-177.62219871843672,43.0
-71.61161327414692,-30.639644222227226,-132.38558372090054,43.0
-71.61162054444205,-30.63991465184008,-136.23609833798497,43.0
-71.61162781483557,-30.64018508144011,-186.42319358631264,43.0
-71.61163508532746,-30.64045551102733,-116.57922568505674,43.0
-71.61164235591775,-30.64072594060172,-195.55883489573975,43.0
-71.61164962660641,-30.640996370163307,-155.2633882407588,43.0
-71.61165689739346,-30.641266799712064,-169.2475622170848,43.0
-71.6116641682789,-30.641537229248005,-129.85040663530683,43.0
-71.61167143926274,-30.641807658771125,-129.09722081065567,43.0
-71.61167871034496,-30.642078088281423,-146.9762722422294,43.0
-71.61168598152557,-30.642348517778903,-131.8053337248916,44.0
-71.61169325280459,-30.642618947263568,-158.6740117493497,44.0
-71.61170052418198,-30.6428893767354,-154.23158114763098,44.0
-71.61170779565776,-30.64315980619442,-187.05166597603565,44.0
-71.61171506723197,-30.64343023564062,-124.60938603007615,43.0
