lon,lat,accum,n_obs
-71.60972950542433,-30.63941149738752,-182.7809230278425,43.0
-71.61004225542447,-30.63940521513439,-179.61487822491324,43.0
-71.61004952128013,-30.639675645096567,-171.76079094096596,43.0
-71.61005678723409,-30.639946075045916,-186.735188708415,43.0
-71.61035500532631,-30.63939893213011,-195.77944346529364,43.0
-71.61036227205017,-30.639669362025007,-184.75183722339648,43.0
-71.61036953887236,-30.639939791907064,-181.09519373809104,43.0
-71.6103768057929,-30.64021022177631,-164.43954032464208,43.0
-71.61038407281177,-30.640480651632743,-179.45860163665262,43.0
-71.61066775512981,-30.639392648374688,-198.56407645618276,43.0
-71.61067502272189,-30.639663078202293,-198.21123109429848,43.0
-71.61068229041233,-30.63993350801706,-195.1718027872705,43.0
-71.6106895582011,-30.64020393781902,-184.36784697935397,43.0
-71.61069682608823,-30.64047436760816,-188.0381762516538,43.0
-71.61070409407371,-30.64074479738448,-179.4234766664652,43.0
-71.61071136215753,-30.641015227147985,-187.0671299317192,43.0
-71.6107186303397,-30.641285656898667,-192.30732872462102,43.0
-71.61072589862025,-30.641556086636538,-183.54420006304179,43.0
-71.61073316699913,-30.641826516361583,-158.7749945861285,43.0
-71.61071846200123,-30.652920411171078,-107.28937773005232,44.0
-71.61072573364319,-30.65319084042498,-120.2638693775027,44.0
-71.61073300538355,-30.653461269666057,-139.9439016371881,43.0
-71.6107402772223,-30.65373169889432,-173.1442580994073,43.0
-71.61098050483496,-30.63938636386812,-192.0507652343581,43.0
-71.61098777329526,-30.639656793628426,-204.43261720183924,43.0
-71.61099504185393,-30.639927223375896,-207.57604437821396,43.0
-71.61100231051095,-30.640197653110555,-200.8986807322231,43.0
-71.61100957926634,-30.640468082832395,-190.36070352114297,43.0
-71.61101684812007,-30.64073851254141,-194.83343139593168,43.0
-71.61102411707219,-30.64100894223762,-185.3208537155759,43.0
-71.61103138612266,-30.641279371921,-190.10701114856002,43.0
-71.6110386552715,-30.64154980159157,-188.31404829148823,43.0
-71.6110459245187,-30.641820231249312,-183.68228915787148,43.0
-71.61100216617115,-30.651832407176094,-115.79085378059638,43.0
-71.61100943828833,-30.65210283641398,-104.10388293906001,43.0
-71.61101671050392,-30.65237326563904,-93.15176908528656,43.0
-71.6110239828179,-30.65264369485127,-125.92285219013988,44.0
-71.61103125523029,-30.65291412405069,-107.60814778922554,44.0
-71.61103852774106,-30.65318455323728,-118.76435044813692,44.0
-71.61104580035024,-30.65345498241105,-172.1146102077794,43.0
-71.61129325444175,-30.639380078610404,-186.12711267215363,43.0
-71.61130052377028,-30.6396505083034,-180.87706576621247,43.0
-71.61130779319717,-30.639920937983568,-196.64154620155003,43.0
-71.61131506272244,-30.640191367650917,-168.81087962548492,43.0
-71.61105319386428,-30.64209066089424,-182.6378214121725,43.0
-71.6110604633082,-30.642361090526347,-185.18942103197608,44.0
-71.61129313745931,-30.651014831984803,-99.25885932509969,43.0
-71.61130041015004,-30.65128526119384,-100.60868627770822,43.0
-71.61130768293914,-30.65155569039004,-98.77800023867802,43.0
-71.61131495582669,-30.651826119573425,-102.52964561490705,43.0
-71.61105307305785,-30.653725411572,-208.22627035908295,43.0
-71.61106034586382,-30.65399584072012,-165.0416078589624,43.0
-71.61106761876823,-30.654266269855427,-100.05779391666813,43.0
-71.61132233234609,-30.64046179730545,-183.56441806884362,43.0
-71.6113296020681,-30.64073222694716,-193.430576446441,43.0
-71.61133687188848,-30.641002656576056,-191.3950796857796,43.0
-71.61134414180725,-30.641273086192133,-185.28801999886593,43.0
-71.61135141182439,-30.64154351579539,-186.57566369342595,43.0
-71.6113586819399,-30.64181394538583,-198.03776192536404,43.0
-71.6113659521538,-30.64208437496345,-194.6396385503347,43.0
-71.61137322246609,-30.64235480452824,-201.763225581921,44.0
-71.61138049287673,-30.642625234080224,-173.76872592178796,44.0
-71.61138776338578,-30.64289566361937,-169.07133914637066,44.0
-71.61132222881263,-30.652096548743987,-107.93099166864872,43.0
-71.61132950189699,-30.65236697790173,-121.48328778606108,43.0
-71.61133677507975,-30.65263740704665,-126.88269279430693,44.0
-71.61134404836092,-30.65290783617875,-119.01579924459861,44.0
-71.61135132174051,-30.65317826529802,-149.87453150722015,44.0
-71.61135859521853,-30.65344869440448,-207.7116967447416,43.0
-71.61136586879495,-30.653719123498107,-209.58504513112678,43.0
-71.61137314246979,-30.653989552578917,-154.9160401190392,43.0
-71.61138041624304,-30.6542599816469,-107.47689335012768,43.0
-71.61160600395017,-30.63937379260154,-167.74436209930406,43.0
-71.61161327414692,-30.639644222227226,-181.1701428144239,43.0
-71.61162054444205,-30.63991465184008,-171.5576823548621,43.0
-71.61162781483557,-30.64018508144011,-123.401364267571,43.0
-71.61163508532746,-30.64045551102733,-162.84204390113032,43.0
-71.61164235591775,-30.64072594060172,-177.05570445278977,43.0
-71.61164962660641,-30.640996370163307,-186.51817510436211,43.0
-71.61165689739346,-30.641266799712064,-198.90200777725227,43.0
-71.6116641682789,-30.641537229248005,-186.9962071167629,43.0
-71.61167143926274,-30.641807658771125,-191.01957183635187,43.0
-71.61167871034496,-30.642078088281423,-201.09509254622253,43.0
-71.61168598152557,-30.642348517778903,-197.14783056908942,44.0
-71.61169325280459,-30.642618947263568,-164.82701675879292,44.0
-71.61170052418198,-30.6428893767354,-170.58132657238679,44.0
-71.61170779565776,-30.64315980619442,-127.87096117002514,44.0
-71.61171506723197,-30.64343023564062,-160.38705177664383,43.0
-71.61172233890456,-30.643700665074004,-165.95552645621984,43.0
-71.61159137758658,-30.65046768551069,-159.4280914195091,43.0
-71.61159865094919,-30.650738114678056,-146.8763233213914,43.0
-71.61160592441021,-30.65100854383258,-121.61288092673138,43.0
-71.61161319796966,-30.651278972974293,-110.98982824653618,43.0
-71.61162047162753,-30.65154940210317,-122.10068714410312,43.0
-71.61162774538381,-30.651819831219232,-106.97731782910853,43.0
-71.61163501923852,-30.652090260322478,-114.51801147875037,43.0
-71.61164229319164,-30.65236068941289,-144.6205815896925,44.0
-71.61164956724319,-30.652631118490486,-130.64541458800522,44.0
-71.61165684139317,-30.652901547555263,-141.91972581499533,44.0
-71.61166411564156,-30.65317197660721,-197.49384356520935,44.0
-71.6116713899884,-30.65344240564634,-218.74190616452694,43.0
-71.61167866443364,-30.65371283467265,-191.3044838915005,43.0
-71.61168593897733,-30.65398326368613,-148.8089498932515,43.0
-71.61169321361943,-30.65425369268679,-112.2282594215394,43.0
-71.61191875336021,-30.63936750584153,-167.68727576257638,43.0
-71.61192602442519,-30.639637935399897,-165.8023385388788,43.0
-71.61193329558854,-30.639908364945427,-101.1242346618784,43.0
-71.61194056685031,-30.64017879447814,-104.56798536687266,43.0
-71.61194783821045,-30.640449223998036,-153.86070757207722,43.0
-71.61195510966901,-30.640719653505094,-165.27782814036814,43.0
-71.61196238122595,-30.64099008299936,-183.43577133280468,43.0
-71.61196965288129,-30.641260512480795,-201.1174772569303,43.0
-71.61197692463503,-30.641530941949405,-188.86339804892515,43.0
-71.61198419648719,-30.6418013714052,-190.17198523645808,43.0
-71.61199146843772,-30.64207180084818,-192.6790887194806,43.0
-71.61199874048667,-30.642342230278324,-185.06257173539055,44.0
-71.61200601263403,-30.642612659695665,-190.29428808387092,44.0
-71.61201328487978,-30.642883089100177,-119.41513561933634,44.0
-71.61202055722396,-30.643153518491864,-75.38386314438092,44.0
-71.61202782966653,-30.64342394787074,-158.00605012158294,43.0
-71.61203510220751,-30.6436943772368,-150.19648463936875,43.0
-71.6120423748469,-30.643964806590017,-154.2262390564686,43.0
-71.61204964758471,-30.644235235930427,-174.7728753984067,43.0
-71.61189688856877,-30.65019096762879,-163.97533414096029,43.0
-71.61190416270165,-30.65046139674164,-160.74149927378784,44.0
-71.61191143693296,-30.65073182584167,-162.16094014439113,44.0
-71.61191871126272,-30.65100225492887,-155.93709060856577,43.0
-71.61192598569089,-30.651272684003253,-114.18710953387657,43.0
-71.61193326021748,-30.651543113064804,-138.73901336310269,43.0
-71.6119405348425,-30.65181354211353,-147.78464611603724,43.0
-71.61194780956598,-30.652083971149438,-141.84713194163393,43.0
-71.61195508438787,-30.652354400172527,-168.62336607190923,44.0
-71.61196235930821,-30.652624829182788,-153.7375483365693,44.0
-71.61196963432697,-30.652895258180227,-182.24090466395873,44.0
-71.61197690944418,-30.653165687164847,-219.58391794842632,43.0
-71.61198418465983,-30.653436116136643,-195.00697028065477,43.0
-71.61199145997391,-30.653706545095616,-159.89159833009364,43.0
-71.61199873538644,-30.65397697404176,-131.5933417577413,43.0
-71.61223150267188,-30.639361218330396,-104.9485028791766,43.0
-71.61223877460505,-30.63963164782142,-106.4984557946814,43.0
-71.61224604663666,-30.63990207729962,-98.93203341381748,43.0
-71.61225331876665,-30.640172506765,-136.4161139723474,43.0
-71.61226059099505,-30.64044293621756,-176.90728801519373,43.0
-71.61226786332186,-30.6407133656573,-189.86302097472242,43.0
-71.61227513574708,-30.640983795084228,-203.87618715476478,43.0
-71.61228240827072,-30.64125422449833,-204.7927102465701,43.0
-71.61228968089276,-30.641524653899605,-194.47340294440278,43.0
-71.61229695361321,-30.641795083288063,-201.30777136312338,43.0
-71.61230422643209,-30.642065512663702,-198.7331280974315,44.0
-71.61231149934936,-30.642335942026524,-178.40571067615997,44.0
-71.61231877236507,-30.642606371376527,-132.57230958540455,44.0
-71.6123260454792,-30.6428768007137,-75.94522592209682,44.0
-71.61233331869173,-30.64314723003806,-75.52014832322001,44.0
-71.61234059200268,-30.6434176593496,-161.45882327236498,43.0
-71.61234786541206,-30.64368808864832,-145.83643105216296,43.0
-71.61235513891985,-30.6439585179342,-132.64239808193116,43.0
-71.61236241252608,-30.64422894720728,-163.9839496912947,43.0
-71.61238423393529,-30.645040234949573,-179.67622762560532,44.0
-71.61239150793521,-30.64531066417136,-183.91459964168925,44.0
-71.61219512300889,-30.64964382004613,-60.44690622124884,43.0
-71.61220239781359,-30.64991424911728,-54.526697749190454,43.0
-71.61220967271672,-30.6501846781756,-132.66639315233706,44.0
-71.6122169477183,-30.65045510722111,-147.15520722756926,44.0
-71.61222422281831,-30.65072553625381,-200.228413615127,44.0
-71.61223149801677,-30.650995965273665,-185.73075892368632,43.0
-71.61223877331366,-30.651266394280707,-114.48744769100747,43.0
-71.612246048709,-30.65153682327492,-123.3675640109263,43.0
-71.61225332420278,-30.651807252256308,-157.34246905382426,43.0
-71.612260599795,-30.65207768122488,-162.93372497392082,44.0
-71.61226787548567,-30.65234811018063,-177.89891436938953,44.0
-71.61227515127479,-30.65261853912355,-146.12557010103842,44.0
-71.61228242716236,-30.65288896805365,-171.30915632925587,44.0
-71.61228970314836,-30.653159396970924,-199.48532655061777,43.0
-71.61229697923284,-30.653429825875385,-189.54065706929327,43.0
-71.61230425541574,-30.65370025476701,-133.30258171858702,43.0
-71.6123115316971,-30.653970683645813,-136.3090316378765,43.0
-71.61253697918212,-30.6390845006316,-114.92893106693577,43.0
-71.61254425188511,-30.639354930068105,-90.62077386441317,43.0
-71.61255152468652,-30.639625359491795,-116.31651316829328,43.0
-71.61255879758635,-30.639895788902653,-158.96721778836363,43.0
-71.61256607058458,-30.64016621830069,-184.87251352918142,43.0
-71.61257334368125,-30.64043664768592,-204.41650875451148,43.0
-71.61258061687631,-30.640707077058316,-209.3439759509479,43.0
-71.61258789016982,-30.6409775064179,-223.64228558506022,43.0
-71.61259516356174,-30.64124793576466,-219.88433404530048,43.0
-71.61260243705208,-30.6415183650986,-208.72342844744824,43.0
-71.61260971064084,-30.64178879441972,-213.00992535820893,43.0
-71.61261698432804,-30.642059223728012,-187.94038929545485,44.0
-71.61262425811364,-30.64232965302349,-160.5547311393452,44.0
-71.6126315319977,-30.64260008230616,-139.43010600956126,44.0
-71.61263880598017,-30.642870511575985,-115.22294598065525,44.0
-71.61264608006108,-30.643140940832996,-134.3672143832503,44.0
-71.61265335424042,-30.643411370077192,-206.8222533157822,43.0
-71.61266062851819,-30.643681799308563,-188.0712924790653,43.0
-71.61250062974615,-30.64936710095953,-49.33695126886345,44.0
-71.61250790532108,-30.64963752997616,-16.160147441031324,44.0
-71.61251518099444,-30.649907958979966,-45.91551632002843,44.0
-71.61252245676624,-30.65017838797095,-120.8297148040574,44.0
-71.6125297326365,-30.650448816949112,-148.11509905660066,44.0
-71.61253700860523,-30.65071924591446,-194.8503420908917,44.0
-71.61254428467238,-30.65098967486697,-202.0227009041187,44.0
-71.612551560838,-30.651260103806678,-129.6148229473303,43.0
-71.61255883710209,-30.65153053273353,-121.18268456949482,43.0
-71.6125661134646,-30.651800961647577,-142.41763355428998,44.0
-71.61257338992559,-30.6520713905488,-148.60745127214727,44.0
-71.61258066648503,-30.6523418194372,-148.5558573290212,44.0
-71.61258794314291,-30.652612248312774,-144.5117674741427,44.0
-71.61259521989928,-30.652882677175526,-153.89970599259846,43.0
-71.6126024967541,-30.653153106025457,-205.9366888552752,43.0
-71.61260977370738,-30.653423534862565,-176.6336078125815,43.0
-71.61261705075911,-30.65369396368684,-129.3103196961996,43.0
-71.61262432790932,-30.65396439249829,-119.94438697257641,43.0
-71.61263160515799,-30.654234821296928,-115.24131593987367,43.0
