lon,lat,accum,n_obs
-71.60972950542433,-30.63941149738752,-155.84742820701575,39.0
-71.61004225542447,-30.63940521513439,-201.32811843972686,39.0
-71.61004952128013,-30.639675645096567,-139.15528291786586,39.0
-71.61005678723409,-30.639946075045916,-146.7856344383819,39.0
-71.61035500532631,-30.63939893213011,-124.05007757738298,39.0
-71.61036227205017,-30.639669362025007,-199.9473791607305,39.0
-71.61036953887236,-30.639939791907064,-151.25902837518456,39.0
-71.6103768057929,-30.64021022177631,-155.12103388247886,39.0
-71.61038407281177,-30.640480651632743,-158.72109741700996,39.0
-71.61066775512981,-30.639392648374688,-145.8505254661244,39.0
-71.61067502272189,-30.639663078202293,-150.53360484383225,39.0
-71.61068229041233,-30.63993350801706,-203.1213451326878,39.0
-71.6106895582011,-30.64020393781902,-172.76422598349293,39.0
-71.61069682608823,-30.64047436760816,-231.3162644950555,39.0
-71.61070409407371,-30.64074479738448,-174.1651947833516,39.0
-71.61071136215753,-30.641015227147985,-272.8088195898522,39.0
-71.6107186303397,-30.641285656898667,-181.91943412413974,38.0
-71.61072589862025,-30.641556086636538,-127.9379713417401,38.0
-71.61073316699913,-30.641826516361583,-127.73914259887476,37.0
-71.61071846200123,-30.652920411171078,-173.6527646352956,39.0
-71.61072573364319,-30.65319084042498,-177.7659621156488,39.0
-71.61073300538355,-30.653461269666057,-136.22676184926507,39.0
-71.6107402772223,-30.65373169889432,-188.90343255387444,39.0
-71.61098050483496,-30.63938636386812,-162.82630539798654,39.0
-71.61098777329526,-30.639656793628426,-159.76797382228207,39.0
-71.61099504185393,-30.639927223375896,-137.83727735564827,39.0
-71.61100231051095,-30.640197653110555,-172.1299045692952,39.0
-71.61100957926634,-30.640468082832395,-194.9301827011735,39.0
-71.61101684812007,-30.64073851254141,-202.9736057139508,39.0
-71.61102411707219,-30.64100894223762,-127.90635440030537,39.0
-71.61103138612266,-30.641279371921,-166.81047123806064,38.0
-71.6110386552715,-30.64154980159157,-124.21256271147493,38.0
-71.6110459245187,-30.641820231249312,-140.9415876943382,37.0
-71.61100216617115,-30.651832407176094,-148.89328541609478,39.0
-71.61100943828833,-30.65210283641398,-130.15926076382632,39.0
-71.61101671050392,-30.65237326563904,-153.80654615682985,39.0
-71.6110239828179,-30.65264369485127,-183.47704606914127,39.0
-71.61103125523029,-30.65291412405069,-179.9933537221802,39.0
-71.61103852774106,-30.65318455323728,-166.84776610043335,39.0
-71.61104580035024,-30.65345498241105,-187.1261455604508,39.0
-71.61129325444175,-30.639380078610404,-158.12080788300707,39.0
-71.61130052377028,-30.6396505083034,-154.07684550675154,39.0
-71.61130779319717,-30.639920937983568,-155.31320524133906,39.0
-71.61131506272244,-30.640191367650917,-148.80773017899173,39.0
-71.61105319386428,-30.64209066089424,-138.51346675486596,37.0
-71.6110604633082,-30.642361090526347,-168.71559362798354,37.0
-71.61129313745931,-30.651014831984803,-170.87301693985646,39.0
-71.61130041015004,-30.65128526119384,-178.80443595465798,39.0
-71.61130768293914,-30.65155569039004,-171.63364264208514,39.0
-71.61131495582669,-30.651826119573425,-151.99138236412318,39.0
-71.61105307305785,-30.653725411572,-165.55259942070543,39.0
-71.61106034586382,-30.65399584072012,-144.62593083975491,39.0
-71.61106761876823,-30.654266269855427,-119.90431946311749,38.0
-71.61132233234609,-30.64046179730545,-128.07705947378625,39.0
-71.6113296020681,-30.64073222694716,-197.24438980596736,39.0
-71.61133687188848,-30.641002656576056,-147.51165533562295,39.0
-71.61134414180725,-30.641273086192133,-197.7921788861473,38.0
-71.61135141182439,-30.64154351579539,-188.3691652731033,37.0
-71.6113586819399,-30.64181394538583,-132.06717181033295,37.0
-71.6113659521538,-30.64208437496345,-136.25524520423878,37.0
-71.61137322246609,-30.64235480452824,-141.99875920853768,37.0
-71.61138049287673,-30.642625234080224,-139.28035463184443,37.0
-71.61138776338578,-30.64289566361937,-193.47015443032893,37.0
-71.61132222881263,-30.652096548743987,-183.84889171471218,39.0
-71.61132950189699,-30.65236697790173,-154.07083733204686,39.0
-71.61133677507975,-30.65263740704665,-128.95528276204658,39.0
-71.61134404836092,-30.65290783617875,-211.57458741049908,39.0
-71.61135132174051,-30.65317826529802,-135.87435129557377,39.0
-71.61135859521853,-30.65344869440448,-156.25546173118872,39.0
-71.61136586879495,-30.653719123498107,-156.83351038870416,39.0
-71.61137314246979,-30.653989552578917,-175.04882594112766,39.0
-71.61138041624304,-30.6542599816469,-125.61419555710684,38.0
-71.61160600395017,-30.63937379260154,-186.28811802637892,39.0
-71.61161327414692,-30.639644222227226,-121.01443021116897,39.0
-71.61162054444205,-30.63991465184008,-157.83314193995787,39.0
-71.61162781483557,-30.64018508144011,-147.8828804635863,39.0
-71.61163508532746,-30.64045551102733,-164.90181068273827,39.0
-71.61164235591775,-30.64072594060172,-196.92536733454662,39.0
-71.61164962660641,-30.640996370163307,-170.05031345201553,37.0
-71.61165689739346,-30.641266799712064,-192.97735854239195,37.0
-71.6116641682789,-30.641537229248005,-202.04293874219812,37.0
-71.61167143926274,-30.641807658771125,-167.39020385480424,37.0
-71.61167871034496,-30.642078088281423,-120.49408324137183,37.0
-71.61168598152557,-30.642348517778903,-160.6775677624243,37.0
-71.61169325280459,-30.642618947263568,-125.30946452247989,37.0
-71.61170052418198,-30.6428893767354,-178.22393657489556,37.0
-71.61170779565776,-30.64315980619442,-223.7494127302833,37.0
-71.61171506723197,-30.64343023564062,-161.27234341688484,38.0
-71.61172233890456,-30.643700665074004,-227.14293480130655,38.0
-71.61159137758658,-30.65046768551069,-145.95317490968807,39.0
-71.61159865094919,-30.650738114678056,-203.10683812696422,39.0
-71.61160592441021,-30.65100854383258,-116.68664192226292,39.0
-71.61161319796966,-30.651278972974293,-138.56483008877558,39.0
-71.61162047162753,-30.65154940210317,-155.17178944391196,39.0
-71.61162774538381,-30.651819831219232,-154.24997239256672,39.0
-71.61163501923852,-30.652090260322478,-158.86272226931268,39.0
-71.61164229319164,-30.65236068941289,-124.25764246478838,39.0
-71.61164956724319,-30.652631118490486,-162.643464382092,39.0
-71.61165684139317,-30.652901547555263,-183.87056392467122,39.0
-71.61166411564156,-30.65317197660721,-185.13782423745926,39.0
-71.6116713899884,-30.65344240564634,-197.59171988586812,39.0
-71.61167866443364,-30.65371283467265,-130.49905626491955,39.0
-71.61168593897733,-30.65398326368613,-108.97543136532965,39.0
-71.61169321361943,-30.65425369268679,-161.53112276644015,38.0
-71.61191875336021,-30.63936750584153,-133.89866121992276,39.0
-71.61192602442519,-30.639637935399897,-118.687436117759,39.0
-71.61193329558854,-30.639908364945427,-176.6385114431842,39.0
-71.61194056685031,-30.64017879447814,-164.42248718841446,39.0
-71.61194783821045,-30.640449223998036,-153.27205774859823,39.0
-71.61195510966901,-30.640719653505094,-141.93896772265973,37.0
-71.61196238122595,-30.64099008299936,-146.63631284574984,37.0
-71.61196965288129,-30.641260512480795,-145.81494498903007,37.0
-71.61197692463503,-30.641530941949405,-161.0980239905622,37.0
-71.61198419648719,-30.6418013714052,-154.03977443862254,37.0
-71.61199146843772,-30.64207180084818,-119.38807111425425,37.0
-71.61199874048667,-30.642342230278324,-132.725532314092,37.0
-71.61200601263403,-30.642612659695665,-148.4685041726119,37.0
-71.61201328487978,-30.642883089100177,-189.19512571135382,37.0
-71.61202055722396,-30.643153518491864,-163.8808438496427,37.0
-71.61202782966653,-30.64342394787074,-174.82682906513315,38.0
-71.61203510220751,-30.6436943772368,-189.51160036298717,38.0
-71.6120423748469,-30.643964806590017,-217.46713579600532,38.0
-71.61204964758471,-30.644235235930427,-193.8697967979156,38.0
-71.61189688856877,-30.65019096762879,-153.1260418545898,38.0
-71.61190416270165,-30.65046139674164,-184.5138035513232,38.0
-71.61191143693296,-30.65073182584167,-144.52852650662086,39.0
-71.61191871126272,-30.65100225492887,-159.96809851705174,39.0
-71.61192598569089,-30.651272684003253,-144.18719706910701,39.0
-71.61193326021748,-30.651543113064804,-184.54091756136015,39.0
-71.6119405348425,-30.65181354211353,-167.33844577170052,39.0
-71.61194780956598,-30.652083971149438,-123.6574303737213,39.0
-71.61195508438787,-30.652354400172527,-229.52484516618824,39.0
-71.61196235930821,-30.652624829182788,-132.89400229759474,39.0
-71.61196963432697,-30.652895258180227,-198.13970757245937,39.0
-71.61197690944418,-30.653165687164847,-185.9415417853872,39.0
-71.61198418465983,-30.653436116136643,-161.3524194244179,39.0
-71.61199145997391,-30.653706545095616,-164.93658527571029,39.0
-71.61199873538644,-30.65397697404176,-167.59763189652475,39.0
-71.61223150267188,-30.639361218330396,-143.8189099512449,39.0
-71.61223877460505,-30.63963164782142,-137.8622896065732,39.0
-71.61224604663666,-30.63990207729962,-152.4785878257969,39.0
-71.61225331876665,-30.640172506765,-146.00657855835652,39.0
-71.61226059099505,-30.64044293621756,-125.614015257815,39.0
-71.61226786332186,-30.6407133656573,-189.00249836190548,37.0
-71.61227513574708,-30.640983795084228,-194.0208570148162,37.0
-71.61228240827072,-30.64125422449833,-208.67205249229872,37.0
-71.61228968089276,-30.641524653899605,-212.57477481702654,37.0
-71.61229695361321,-30.641795083288063,-127.26141477202259,37.0
-71.61230422643209,-30.642065512663702,-168.7902197939042,37.0
-71.61231149934936,-30.642335942026524,-167.9840001851509,37.0
-71.61231877236507,-30.642606371376527,-174.37353680926074,37.0
-71.6123260454792,-30.6428768007137,-205.1901261281253,37.0
-71.61233331869173,-30.64314723003806,-155.30479813485505,37.0
-71.61234059200268,-30.6434176593496,-182.6398497940281,38.0
-71.61234786541206,-30.64368808864832,-131.73828482604372,38.0
-71.61235513891985,-30.6439585179342,-130.4214244091118,38.0
-71.61236241252608,-30.64422894720728,-136.87698394488396,38.0
-71.61238423393529,-30.645040234949573,-200.82831721660727,38.0
-71.61239150793521,-30.64531066417136,-149.7850756194191,38.0
-71.61219512300889,-30.64964382004613,-166.47896875586724,38.0
-71.61220239781359,-30.64991424911728,-145.11927249473703,38.0
-71.61220967271672,-30.6501846781756,-121.09708959609358,38.0
-71.6122169477183,-30.65045510722111,-151.35817479109144,38.0
-71.61222422281831,-30.65072553625381,-193.2187711878361,39.0
-71.61223149801677,-30.650995965273665,-140.94569156406433,39.0
-71.61223877331366,-30.651266394280707,-147.23766095251278,39.0
-71.612246048709,-30.65153682327492,-166.95636557697696,39.0
-71.61225332420278,-30.651807252256308,-198.81636285976373,39.0
-71.612260599795,-30.65207768122488,-153.60505786515753,39.0
-71.61226787548567,-30.65234811018063,-148.87438050847263,39.0
-71.61227515127479,-30.65261853912355,-180.33667618078414,39.0
-71.61228242716236,-30.65288896805365,-132.10221918954693,39.0
-71.61228970314836,-30.653159396970924,-109.49777891287424,39.0
-71.61229697923284,-30.653429825875385,-154.28860383297192,39.0
-71.61230425541574,-30.65370025476701,-149.31576551220016,39.0
-71.6123115316971,-30.653970683645813,-123.48860671683204,39.0
-71.61253697918212,-30.6390845006316,-104.24805831586491,39.0
-71.61254425188511,-30.639354930068105,-151.646604333456,39.0
-71.61255152468652,-30.639625359491795,-139.28626425322676,39.0
-71.61255879758635,-30.639895788902653,-154.04665379251276,39.0
-71.61256607058458,-30.64016621830069,-149.7739553569406,39.0
-71.61257334368125,-30.64043664768592,-197.1042554492028,38.0
-71.61258061687631,-30.640707077058316,-135.47277376777316,37.0
-71.61258789016982,-30.6409775064179,-150.75374943422895,37.0
-71.61259516356174,-30.64124793576466,-147.77841101712517,37.0
-71.61260243705208,-30.6415183650986,-173.46391460292045,37.0
-71.61260971064084,-30.64178879441972,-137.60883946050478,37.0
-71.61261698432804,-30.642059223728012,-164.75438288223597,37.0
-71.61262425811364,-30.64232965302349,-101.65337914579011,37.0
-71.6126315319977,-30.64260008230616,-163.95744238822107,37.0
-71.61263880598017,-30.642870511575985,-203.36011414207044,37.0
-71.61264608006108,-30.643140940832996,-167.29364531829933,37.0
-71.61265335424042,-30.643411370077192,-239.27984260111128,37.0
