SEASON,PREDICTORS,COEFFICIENTS,INTERCEPT,N_ROWS
1.0,"[""RAD_topo"", ""NDVI"", ""Pol_moisture""]","{""RAD_topo"": -0.13722782414317183, ""NDVI"": -7.119020621422329, ""Pol_moisture"": -7.811762283552289}",6.7488980637090705,86
2.0,"[""RAD_topo"", ""NDVI"", ""Pol_moisture""]","{""RAD_topo"": -0.1307892572410193, ""NDVI"": -5.984824943664802, ""Pol_moisture"": -2.109999891703705}",4.762353208897128,91
3.0,"[""RAD_topo"", ""NDVI"", ""Pol_moisture""]","{""RAD_topo"": -0.11758820701968593, ""NDVI"": -9.239357868502415, ""Pol_moisture"": 6.691014787026592}",2.644011113263392,100
